ActFB	apCAF	CycFB	CytFB	DerFB	DevFB	EpiFB	FCC	FCPC	iCAF	LipFB	MetFB	myoCAF	PapFB	ProFB	UniFB
HES7(+)	0.0582029510746696	0.00817229393629083	0.111408950568437	0.0277815650176041	0.461111879355439	0	0	0.0426780190793552	0.0130456412961659	0.0479539392197799	0.0702360527167957	0.0608128234220977	0.0506075675832	0	0	0
MAFA(+)	0	0.0131717525658063	0.0326996631509241	0.0376123217147827	0.60423328593984	0.0664579375695709	0.0636403641865413	0.0135836742781902	0.0524865270908284	0.0176186297739294	0.0240947616742674	0.0508152511630122	0.0384590030978303	0.141160665439267	0.0713660334020629	0.0325585408806212
UQCRB(+)	0	0.190360655591542	0	0.129413023742701	1.10800706754801	0	0	0	0.416999937445337	0.262904926075779	0	0	0	0.235605933569859	0	0
ACAA1(+)	0	0	0	0	0.0784253941673808	0.341469920696317	0	0	0	0	0.0399818606107243	0	0	0	0	0
GATA2(+)	0.0216511473152963	0.0490141510721451	0.00958416624235726	0.0923710054806218	0	0.374353618427841	0.104441270311266	0.0835476953259615	0.0438190271572353	0.0115644805424891	0.0067067345763463	0.0996062320462723	0.0326109246157016	0.0787130397973327	0	0.00706685005985753
HES5(+)	0	0	0	0.055949420500047	0	0.364393954110216	0.0198158602529085	0	0	0.0162698165395262	0	0.0320419914065	0.0388655506213775	0	0	0.108584668928599
HMGB1(+).1	0	0	0	0.351385493733828	0	0.620865403660712	0	0	0	0	0.0988212663146775	0	0	0.287978848131703	0	0
ZBTB14(+)	0	0.0287923521697066	0.0144453457565618	0.0657979999819762	0.113474030479848	0.351479743199704	0.0340102064740811	0.022098012652557	0	0	0.0605010113092078	0.00936197187889258	0.0125320646864346	0.0980173378615738	0.0506510623024519	0.00554392262459349
GATA6(+)	0.0613136053644523	0.129902996678973	0.039026527445326	0.106926687998331	0.0230636335655865	0.0555768714847976	0.417318310822366	0.0492954012448692	0.0589380829450246	0.060060774463204	0.122594064269383	0.129903581477569	0.180458813330776	0.191685958416295	0.0925061809693628	0.0424673789226733
HMGB2(+)	0	0.0321069932626695	0	0.0149641008552423	0.0188068480337183	0	0.293026885917369	0	0	0.0700528551203311	0	0.0208560532530996	0	0	0.130228094848804	0.0517250797079929
HOXA10(+)	0	0.0455805666571838	0.0711184307562666	0.113028138655697	0.294836903466698	0.0968811171635041	0.611553666092128	0.0351122132969081	0.097470833784282	0.0124570017758144	0.104565864664275	0.162061768660598	0.0505996653043136	0.308166875830216	0.0909280076811061	0.0345291462944974
MYBL1(+)	0.0758742324346691	0.0856668040905979	0.0415022719643341	0	0	0	0.365658274094297	0.0289919742582657	0.0149624586152421	0.0110983528150295	0.0466631956934146	0.0392810821388491	0	0	0.0705129433197292	0.0191872902740262
NR2E3(+)	0.0547467036359509	0.0293392322680521	0	0.0110149387622924	0	0	0.410318370715902	0.0285815338888707	0	0	0	0.0429536903662259	0.0242536446306517	0.0673702773833269	0	0.021144760029045
ENO1(+)	0	0.0904775418434808	0	0.159102208941814	0.398686281616729	0	0	0.410734911209909	0	0	0.0761745003657656	0.220967811421504	0	0	0.090460002945857	0
EPAS1(+).1	0	0	0	0	0.554557833898058	0	0.0824306966644558	0.185282560063598	0	0	0	0	0	0	0	0
KLF2(+)	0.127189148459409	0.0166267491170902	0.0625468956913733	0.104524327654663	0.448210733240284	0.249506633406278	0.119692488804835	0.256340704535988	0.113334360326013	0.220707158912488	0.102813685499129	0.179224796175464	0.115517679499467	0	0.0658501807084399	0.203266188561078
MSX2(+)	0.0246694419847276	0.00880025365889581	0.0229386380177006	0.0363202691598939	0.0313470141711165	0	0.0660442719712016	0.183949486999105	0.0333827015409445	0.00958191559421721	0.0601608378601202	0.0288782020297117	0.0156352891708873	0	0.0658073739483574	0.0347305749214346
ZNF273(+)	0	0	0	0	0.0667735121652144	0	0	0.177455428732104	0	0	0	0	0	0	0	0
GPD1(+)	0	0	0	0	0	0	0	0	0.341253119326407	0	0.145392879130389	0	0	0	0	0
NFIB(+)	0.116071881853035	0	0.0906979958149686	0	0	0.213205606916888	0.0635436436310264	0.0731893508781002	0.291951375747184	0.14792990374207	0	0	0	0.193632737095108	0	0
SP7(+)	0.172825090369201	0	0.027821032410074	0	0	0	0	0	0.232595337130889	0	0	0	0	0	0	0
SPIC(+)	0	0	0	0.0375089125636233	0	0	0	0	0.234615265068384	0	0	0	0.0204617144966119	0	0.0234180573928688	0
UQCRB(+).1	0	0.190360655591542	0	0.129413023742701	1.10800706754801	0	0	0	0.416999937445337	0.262904926075779	0	0	0	0.235605933569859	0	0
CDX2(+)	0	0	0	0	0	0	0	0	0	0.248171915722245	0	0	0	0	0	0
HES1(+)	0.060042971827239	0	0.163764433714584	0.0933651938396796	0.229249665961403	0.132008626405493	0	0.0411178587151089	0.0304965587203043	0.340094816429945	0.114018211634968	0	0.0541563667150818	0	0	0.011954611327064
NR1H4(+)	0.0348047094455	0.0455652292711874	0.133698541635509	0	0	0	0	0.0207727745372932	0.129576208787826	0.269781505007065	0.0611360704912911	0	0.0412664705032253	0	0	0
NR5A1(+)	0	0	0	0	0	0	0	0	0	0.431257851969381	0	0	0	0	0	0
UQCRB(+).2	0	0.190360655591542	0	0.129413023742701	1.10800706754801	0	0	0	0.416999937445337	0.262904926075779	0	0	0	0.235605933569859	0	0
ARID5B(+).1	0.351435483420559	0	0	0	0	0	0	0	0.220592902125141	0	0.227380631706968	0.182125004480186	0	0	0.241450544349235	0
EN1(+)	0.0100767127943874	0.0297956691507417	0.0296913202795063	0.1568759349515	0	0	0	0.107545857297505	0.0145175910287803	0.0730896735134	0.266641257087345	0.164083654328225	0	0.119738939163797	0.226424038019522	0.0659624083031239
HIF3A(+)	0	0	0	0	0	0	0	0	0	0	0.252876977495426	0	0	0	0	0
MSX1(+)	0	0.116995572435833	0.015901465046185	0.0313001772611192	0.0192169034804199	0.0719502524478696	0.0500731298766113	0.0691825233273027	0.0464747599923265	0.0650290331289477	0.308745546932166	0	0	0	0.106048413395402	0.041023166721121
NR2F1(+)	0	0.206622692079777	0	0	0	0	0	0	0	0	0.297443341179247	0.0971898203225077	0	0	0	0.0834843444157242
LMX1A(+)	0	0	0	0	0	0	0	0	0	0	0.0171109703083925	0.371628432215245	0	0	0	0.0566799297782211
RUNX3(+)	0.0470630553121147	0	0.109273866076108	0.0837505426896513	0	0	0.0904553533111027	0.0541400134413826	0.0532304453321264	0.0727764280394156	0.0311973778069789	0.433047181932233	0.0459279259658313	0	0.107445479842726	0.046144449058696
TWIST1(+)	0	0.0757876665781915	0	0	0	0	0	0	0	0.0457473684544614	0	0.365226797733525	0.056930492645215	0	0.203337519751034	0.0523643682302842
TWIST2(+).1	0	0	0.010439445770678	0.298363462855549	0	0.0906079827641257	0	0	0	0	0	0.33030311266008	0	0	0	0
ZBED1(+)	0	0	0	0.218986615240492	0	0.111781769476259	0	0	0	0.0516927992373594	0	0.412633913540603	0	0	0	0
CD59(+)	0	0	0	0.230392088690292	0	0.235526685792114	0.101909941866842	0	0	0	0.166412915266828	0	0.351595726019812	0	0.119279059935333	0
MSC(+)	0	0	0.0116156852707706	0.0857012506864861	0	0	0.0704975773768589	0	0.0628139706572575	0.0492027193901982	0.0498644788715451	0	0.273233582242737	0.0778786629632593	0	0
NFIC(+)	0.19673686052879	0	0.0683869991004784	0.276576750914955	0	0.173868102279321	0.105833376778045	0	0.167565042451476	0	0	0	0.430541958845589	0	0	0
NFIX(+)	0	0	0.0530384929537023	0	0	0.112893097235531	0.0665671098127757	0	0	0	0	0.312334902349649	0.249443529083343	0	0	0
PPARD(+)	0.0169973342432095	0.0510282290391596	0.00890557440759948	0.0458594762828015	0.0652194603406548	0.0979077722937881	0.0444153464168358	0.0249907713502699	0.0124289394441966	0	0.0256347218198897	0.0434565898697795	0.367713799337031	0.18890013059233	0.0280514200494321	0.0068020156247799
BACH1(+)	0.0968397691363739	0.0665228861042798	0.0238460906109178	0.078024000002517	0.0877236726937955	0.0584374874375479	0.0572908716621095	0.0593515085481215	0.0760364088596895	0.045373906390407	0.0505508966395636	0.069715803579302	0.0884579676507734	0.468119165124952	0.0568865419573784	0.0409679914865183
CSNK2B(+)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370888231155603	0	0
TBX19(+)	0.0087691412795696	0.0266176334252236	0.0105255949563333	0.0358212672995775	0	0.0633540976852852	0.021718436779982	0.0487577778160161	0.0261343747448208	0	0.0190533606340576	0.0242973338703748	0.030040400118807	0.467304288422717	0.0195470676925461	0
ZNF527(+)	0	0	0	0	0	0	0	0	0	0	0	0.0421605970524147	0	0.426978176243101	0	0
ZSCAN1(+)	0	0	0	0	0	0	0	0	0.0473136907001604	0	0	0	0.0583739303182925	0.449892435722995	0	0
GADD45A(+)	0	0	0	0	0	0	0.126188218863018	0	0	0	0	0	0	0	0.384229478706918	0
KLF9(+)	0.109276900691039	0.105348319405958	0.0480945450041009	0	0.183956746766557	0.0773103571910044	0.0144062238024575	0	0.0866540803618868	0.0861121906132108	0.0946701109042104	0.171905456683105	0	0.0932273808044208	0.34671561326851	0.172325403146722
NUCB1(+)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299037877286326	0
PAX1(+)	0	0	0	0	0	0	0	0.0628684693136294	0	0.022494821566776	0	0	0	0	0.26752565284394	0
TCF4(+).1	0	0	0.218582773029586	0	0	0.272944505130715	0	0	0.179282186544983	0	0	0.158829431328659	0.106431528831993	0.233760294354057	0.41764652427726	0.128355424964238
NMI(+)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190552310461715
PBX1(+)	0.0414918304315549	0	0.109788633533498	0.143789108482706	0.305772146521188	0.11267999631658	0	0.0737330567651831	0.15967570228168	0.244681262854316	0.122032036439091	0.0930079563023961	0.059227294967496	0.307084563217401	0.135883350589562	0.285188608810663
TCF4(+).2	0	0	0.218582773029586	0	0	0.272944505130715	0	0	0.179282186544983	0	0	0.158829431328659	0.106431528831993	0.233760294354057	0.41764652427726	0.128355424964238
TFF3(+)	0.0820369142400425	0	0	0	0	0	0.0237678921543182	0	0.00954609472279983	0.0134867937273634	0	0.0165722006115287	0	0	0.0972376826645144	0.130343460869453
ZNF626(+)	0	0	0	0	0	0	0	0	0	0	0	0	0.0317554413215304	0	0	0.168527946998944
