From	To	id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	Pairs	Interactions	Tissue
ActFB	B cells	CPI-SS06C0074BD	CCL21_CCR7	simple:O00585	simple:P32248	CCL21	CCR7	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	0.952	Fetal_Pancreas
ActFB	B cells	CPI-SS00D1CB372	CD34_SELL	simple:P28906	simple:P14151	CD34	SELL	FALSE	FALSE	FALSE	curated	FALSE	Ligand-Receptor		ActFB|B cells	1.237	Thymus
ActFB	B cells	CPI-SS0E928B8C8	FGF7_FGFR2	simple:P21781	simple:P21802	FGF7	FGFR2	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Fibroblast growth factor	ActFB|B cells	0.454	Heart
ActFB	B cells	CPI-SS0D0235DCE	SLIT2_ROBO2	simple:O94813	simple:Q9HCK4	SLIT2	ROBO2	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	ActFB|B cells	0.297	Heart
ActFB	B cells	CPI-SS052BBD9F9	CXCL1_ACKR1	simple:P09341	simple:Q16570	CXCL1	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	0.298	Artery
ActFB	B cells	CPI-SS0D0235DCE	SLIT2_ROBO2	simple:O94813	simple:Q9HCK4	SLIT2	ROBO2	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	ActFB|B cells	0.223	Fetal_Calvaria
ActFB	B cells	CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	0.96	Trachea
ActFB	B cells	CPI-SS036B08188	PLAU_PLAUR	simple:P00749	simple:Q03405	PLAU	PLAUR	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Plasminogen Activator	ActFB|B cells	0.721	Gallbladder
ActFB	B cells	CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion	Adhesion by CADM	ActFB|B cells	0.521	Fetal_Male_Gonad
ActFB	B cells	CPI-SS09239FB26	CCL19_CCR7	simple:Q99731	simple:P32248	CCL19	CCR7	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	1.927	Thymus
ActFB	Endothelial	CPI-SC046AFCFE9	CLU_TREM2_receptor	simple:P10909	complex:TREM2_receptor	CLU		TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor		ActFB|Endothelial	0.51	Placenta
ActFB	Endothelial	CPI-SS0D2FABC4A	ADM_RAMP3	simple:P35318	simple:O60896	ADM	RAMP3	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Adrenomedullin	ActFB|Endothelial	0.614	Uterus
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	2.174	Uterus
ActFB	Endothelial	CPI-SS0D2FABC4A	ADM_RAMP3	simple:P35318	simple:O60896	ADM	RAMP3	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Adrenomedullin	ActFB|Endothelial	2.569	Vasculature
ActFB	Endothelial	CPI-SS052BBD9F9	CXCL1_ACKR1	simple:P09341	simple:Q16570	CXCL1	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	3.647	Cervix
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	1.538	Chorionic_Villus
ActFB	Endothelial	CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	0.883	Lung
ActFB	Endothelial	CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	2.542	Bladder
ActFB	Endothelial	CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Semaphorin	ActFB|Endothelial	0.731	Bladder
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	1.018	Fetal_Muscle
ActFB	Endothelial	CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	1.062	Adipose
ActFB	Endothelial	CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion		ActFB|Endothelial	1.816	Vasculature
ActFB	Endothelial	CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	1.843	Lung
ActFB	Endothelial	CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion	Adhesion by Cadherin	ActFB|Endothelial	1.716	Fetal_Heart
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	2.253	Mammary
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	0.862	Fetal_Adrenal_Gland
ActFB	Endothelial	CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Semaphorin	ActFB|Endothelial	0.933	Adipose
ActFB	Endothelial	CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	1.997	Vasculature
ActFB	Endothelial	CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Semaphorin	ActFB|Endothelial	0.941	Heart
ActFB	Endothelial	CPI-SS0D0235DCE	SLIT2_ROBO2	simple:O94813	simple:Q9HCK4	SLIT2	ROBO2	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	ActFB|Endothelial	0.331	Fetal_Skin
ActFB	Endothelial	CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion	Adhesion by CEAM	ActFB|Endothelial	0.113	Gallbladder
ActFB	Endothelial	CPI-SS036B08188	PLAU_PLAUR	simple:P00749	simple:Q03405	PLAU	PLAUR	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Plasminogen Activator	ActFB|Endothelial	0.427	Gallbladder
ActFB	Endothelial	CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	2.398	Vasculature
ActFB	Endothelial	CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Semaphorin	ActFB|Endothelial	0.668	Fetal_Skin
ActFB	Endothelial	CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	3.139	Cervix
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	1.083	Placenta
ActFB	Endothelial	CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion	Adhesion by Cadherin	ActFB|Endothelial	1.645	Fetal_Pancreas
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	1.518	Muscle
ActFB	Endothelial	CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	1.305	Muscle
ActFB	Endothelial	CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	1.901	Muscle
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	0.326	Gallbladder
ActFB	Endothelial	CPI-SS0D0235DCE	SLIT2_ROBO2	simple:O94813	simple:Q9HCK4	SLIT2	ROBO2	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	ActFB|Endothelial	0.087	Fetal_Calvaria
ActFB	Endothelial	CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	1.487	Heart
ActFB	Endothelial	CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	0.968	Bladder
ActFB	Endothelial	CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	0.939	Fetal_Heart
ActFB	Endothelial	CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion	Adhesion by Cadherin	ActFB|Endothelial	1.215	Fetal_Kidney
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	1.195	Bladder
ActFB	Endothelial	CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Notch	ActFB|Endothelial	0.438	Fetal_Pancreas
ActFB	Endothelial	CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	0.154	Placenta
ActFB	Endothelial	CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion		ActFB|Endothelial	1.038	Liver
ActFB	Endothelial	CPI-SS0A932EB77	SLIT2_ROBO1	simple:O94813	simple:Q9Y6N7	SLIT2	ROBO1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	ActFB|Endothelial	0.324	Lung
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	0.799	Fetal_Calvaria
ActFB	Endothelial	CPI-SS0D0235DCE	SLIT2_ROBO2	simple:O94813	simple:Q9HCK4	SLIT2	ROBO2	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	ActFB|Endothelial	0.2	Placenta
ActFB	Endothelial	CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Semaphorin	ActFB|Endothelial	0.591	Trachea
ActFB	Endothelial	CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	2.369	Heart
ActFB	Endothelial	CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Semaphorin	ActFB|Endothelial	0.537	Uterus
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	0.996	Stomach
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	0.931	Fetal_Rib
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	0.468	Fetal_Skin
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	0.618	Adipose
ActFB	Endothelial	CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion		ActFB|Endothelial	1.032	Artery
ActFB	Endothelial	CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	2.328	Thymus
ActFB	Endothelial	CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	0.592	Bladder
ActFB	Endothelial	CPI-SS052BBD9F9	CXCL1_ACKR1	simple:P09341	simple:Q16570	CXCL1	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	2.607	Trachea
ActFB	Endothelial	CPI-SS0B1B18F2D	CXCL12_DPP4	simple:P48061	simple:P27487	CXCL12	DPP4	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	1.45	Pleura
ActFB	Endothelial	CPI-SS0D2FABC4A	ADM_RAMP3	simple:P35318	simple:O60896	ADM	RAMP3	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Adrenomedullin	ActFB|Endothelial	1.849	Muscle
ActFB	Endothelial	CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	2.212	Muscle
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	1.855	Eye
ActFB	Endothelial	CPI-SS0B537DD3F	CEACAM5_CEACAM1	simple:P06731	simple:P13688	CEACAM5	CEACAM1	TRUE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion	Adhesion by CEAM	ActFB|Endothelial	0.051	Intestinal
ActFB	Endothelial	CPI-SS052BBD9F9	CXCL1_ACKR1	simple:P09341	simple:Q16570	CXCL1	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	1.267	Uterus
ActFB	Endothelial	CPI-SS0911EECCC	CXCL8_ACKR1	simple:P10145	simple:Q16570	CXCL8	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	1.14	Uterus
ActFB	Endothelial	CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	1.967	Adipose
ActFB	Endothelial	CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	0.975	Uterus
ActFB	Endothelial	CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion		ActFB|Endothelial	1.641	Thymus
ActFB	Endothelial	CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	1.372	Artery
ActFB	Endothelial	CPI-SS0BDC04683	CEACAM1_SELE	simple:P13688	simple:P16581	CEACAM1	SELE	TRUE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion	Adhesion by CEAM	ActFB|Endothelial	0.807	Fetal_Adrenal_Gland
ActFB	Endothelial	CPI-SS0911EECCC	CXCL8_ACKR1	simple:P10145	simple:Q16570	CXCL8	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	3.294	Cervix
ActFB	Endothelial	CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion		ActFB|Endothelial	1.277	Fetal_Pancreas
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	0.856	Fetal_Kidney
ActFB	Endothelial	CPI-SS036B08188	PLAU_PLAUR	simple:P00749	simple:Q03405	PLAU	PLAUR	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Plasminogen Activator	ActFB|Endothelial	0.504	Uterus
ActFB	Endothelial	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|Endothelial	1.381	Pleura
ActFB	Endothelial	CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|Endothelial	2.525	Artery
ActFB	Endothelial	CPI-SS052BBD9F9	CXCL1_ACKR1	simple:P09341	simple:Q16570	CXCL1	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|Endothelial	2.538	Artery
ActFB	Endothelial	CPI-SS0D2FABC4A	ADM_RAMP3	simple:P35318	simple:O60896	ADM	RAMP3	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Adrenomedullin	ActFB|Endothelial	1.611	Trachea
ActFB	Endothelial	CPI-SS0A932EB77	SLIT2_ROBO1	simple:O94813	simple:Q9Y6N7	SLIT2	ROBO1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	ActFB|Endothelial	0.458	Bladder
ActFB	Endothelial	CPI-SC06C75F978	APOE_TREM2_receptor	simple:P02649	complex:TREM2_receptor	APOE		TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Apolipoprotein	ActFB|Endothelial	0.062	Placenta
ActFB	Endothelial	CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Semaphorin	ActFB|Endothelial	0.538	Lung
ActFB	Endothelial	CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	FALSE	FALSE	FALSE	curated	FALSE	Adhesion-Adhesion	Adhesion by CADM	ActFB|Endothelial	0.322	Fetal_Male_Gonad
